
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0         24 K
System                           4 Services                   0     27,148 K
smss.exe                       288 Services                   0      1,024 K
csrss.exe                      444 Services                   0      5,548 K
wininit.exe                    660 Services                   0      4,660 K
csrss.exe                      680 Console                    1     42,664 K
services.exe                   728 Services                   0     12,104 K
lsass.exe                      752 Services                   0     13,776 K
winlogon.exe                   760 Console                    1      6,984 K
lsm.exe                        768 Services                   0      4,492 K
svchost.exe                    884 Services                   0      9,092 K
svchost.exe                    960 Services                   0      8,860 K
svchost.exe                    308 Services                   0     17,064 K
svchost.exe                    684 Services                   0    167,172 K
svchost.exe                    900 Services                   0     18,900 K
svchost.exe                   1040 Services                   0     34,216 K
svchost.exe                   1112 Services                   0      7,520 K
svchost.exe                   1232 Services                   0     35,832 K
spoolsv.exe                   1408 Services                   0      9,584 K
svchost.exe                   1436 Services                   0     13,568 K
taskhost.exe                  1592 Console                    1      9,280 K
taskeng.exe                   1616 Console                    1      6,472 K
schtasks.exe                  1876 Console                    1        528 K
conhost.exe                   1884 Console                    1      3,228 K
RadeonSettings.exe            1932 Console                    1      6,248 K
svchost.exe                   1220 Services                   0      6,140 K
samservice.exe                1524 Services                   0      6,072 K
GATESRV.exe                   2008 Services                   0      4,332 K
AMDRSServ.exe                 1548 Console                    1        920 K
bufmonitor.exe                2088 Console                    1      6,496 K
samproprocess.exe             2148 Console                    1      4,828 K
LenRCClient.exe               2156 Console                    1     13,344 K
amdow.exe                     2336 Console                    1        528 K
WmiPrvSE.exe                  2608 Services                   0     15,464 K
ProcHelper64.exe              1976 Console                    1      4,832 K
SearchIndexer.exe             2652 Services                   0     24,464 K
WmiPrvSE.exe                  2060 Services                   0     18,196 K
RAVBg64.exe                   1140 Console                    1        528 K
svchost.exe                   3984 Services                   0      9,688 K
taskhost.exe                  4772 Console                    1     12,320 K
svchost.exe                   4568 Services                   0      4,536 K
explorer.exe                  5304 Console                    1    111,068 K
SogouCloud.exe                3212 Console                    1     20,312 K
GoogleCrashHandler.exe        5088 Services                   0        528 K
GoogleCrashHandler64.exe      5544 Services                   0        528 K
MasterHelper.exe              4256 Console                    1      6,576 K
cmd.exe                       3180 Console                    1      3,136 K
conhost.exe                   3804 Console                    1      6,536 K
cmd.exe                       7012 Console                    1      2,820 K
conhost.exe                   2716 Console                    1      6,492 K
dwm.exe                       3588 Console                    1     52,524 K
cmd.exe                       4332 Console                    1      3,032 K
conhost.exe                   5724 Console                    1      6,172 K
Code.exe                      3900 Console                    1     96,144 K
Code.exe                      6312 Console                    1    187,860 K
Code.exe                      4628 Console                    1     13,308 K
Code.exe                      4896 Console                    1     70,256 K
Code.exe                      6220 Console                    1    295,688 K
Code.exe                      5452 Console                    1    144,972 K
CodeHelper.exe                5508 Console                    1     11,264 K
conhost.exe                   3944 Console                    1      4,008 K
Microsoft.VSCode.CPP.Exte     1536 Console                    1     37,864 K
conhost.exe                   6376 Console                    1      4,028 K
Microsoft.VSCode.CPP.Inte     1820 Console                    1    110,920 K
Microsoft.VSCode.CPP.Inte     6616 Console                    1    137,764 K
python.exe                    1996 Console                    1     50,832 K
conhost.exe                   4472 Console                    1      3,984 K
Code.exe                      2580 Console                    1     54,276 K
winpty-agent.exe              3616 Console                    1      5,144 K
conhost.exe                   5268 Console                    1      7,460 K
cmd.exe                       2916 Console                    1      3,344 K
python.exe                    3744 Console                    1     44,460 K
chrome.exe                    6284 Console                    1    122,112 K
chrome.exe                    5564 Console                    1      6,660 K
chrome.exe                    3484 Console                    1      7,536 K
chrome.exe                    2288 Console                    1    344,744 K
chrome.exe                    5732 Console                    1     47,912 K
chrome.exe                    3632 Console                    1    112,952 K
python.exe                    4248 Console                    1     23,252 K
conhost.exe                   3324 Console                    1      3,980 K
chrome.exe                    3424 Console                    1    113,384 K
chrome.exe                    6244 Console                    1     68,720 K
chrome.exe                    5236 Console                    1    156,224 K
ShadowsocksR-dotnet4.0.ex     1064 Console                    1     38,600 K
ShadowsocksR-dotnet4.0.ex     5440 Console                    1      6,384 K
chrome.exe                    3728 Console                    1     21,016 K
LogonUI.exe                   5100 Console                    1     21,568 K
SearchProtocolHost.exe        6064 Services                   0      8,784 K
SearchFilterHost.exe          6656 Services                   0      7,484 K
cmd.exe                       4692 Console                    1      3,108 K
tasklist.exe                  4744 Console                    1      6,448 K
